    Spec/   Proof/    Exec/    Rust File
--------------------------------------------
      21/      34/      29/       9 src/Chap02/FibonacciHFScheduler.rs
      19/       1/      64/      67 src/Chap02/HFSchedulerMtEph.rs
      13/      23/      47/       7 src/Chap03/InsertionSortStEph.rs
      60/      57/      38/      15 src/Chap05/KleeneStPer.rs
     149/      96/     141/      41 src/Chap05/MappingStEph.rs
      97/      33/      82/      32 src/Chap05/RelationStEph.rs
     214/     140/     518/      68 src/Chap05/SetMtEph.rs
     193/      79/     392/      44 src/Chap05/SetStEph.rs
     385/      76/     326/      64 src/Chap06/DirGraphMtEph.rs
     153/      98/     221/      51 src/Chap06/DirGraphStEph.rs
     226/     142/     261/      59 src/Chap06/LabDirGraphMtEph.rs
     120/      77/     184/      43 src/Chap06/LabDirGraphStEph.rs
     199/     169/     250/      70 src/Chap06/LabUnDirGraphMtEph.rs
     119/      72/     169/      54 src/Chap06/LabUnDirGraphStEph.rs
     233/      83/     193/      64 src/Chap06/UnDirGraphMtEph.rs
     134/      52/     113/      52 src/Chap06/UnDirGraphStEph.rs
      26/      62/     136/      23 src/Chap06/WeightedDirGraphStEphF64.rs
      38/      98/     226/      23 src/Chap06/WeightedDirGraphStEphI128.rs
      38/      84/     223/      23 src/Chap06/WeightedDirGraphStEphI16.rs
      38/      84/     223/      23 src/Chap06/WeightedDirGraphStEphI32.rs
      38/      84/     223/      23 src/Chap06/WeightedDirGraphStEphI64.rs
      38/      84/     223/      23 src/Chap06/WeightedDirGraphStEphI8.rs
      38/      84/     223/      23 src/Chap06/WeightedDirGraphStEphIsize.rs
      38/      85/     223/      23 src/Chap06/WeightedDirGraphStEphU128.rs
      38/      85/     223/      23 src/Chap06/WeightedDirGraphStEphU16.rs
      38/      85/     223/      23 src/Chap06/WeightedDirGraphStEphU32.rs
      38/      85/     223/      23 src/Chap06/WeightedDirGraphStEphU64.rs
      38/      85/     223/      23 src/Chap06/WeightedDirGraphStEphU8.rs
      38/      85/     223/      23 src/Chap06/WeightedDirGraphStEphUsize.rs
       2/       8/      74/       8 src/Chap11/FibonacciMtEph2Threads.rs
       3/       8/      78/       6 src/Chap11/FibonacciMtEphRecomputes.rs
       5/       1/      23/       7 src/Chap11/FibonacciMtPerAllThreads.rs
       3/       8/      76/       6 src/Chap11/FibonacciMtPerTSM.rs
      26/      26/      39/      10 src/Chap11/FibonacciStEph.rs
       7/       0/      50/      17 src/Chap12/Exercise12_1.rs
       0/       0/      12/       4 src/Chap12/Exercise12_2.rs
       6/       0/      60/      25 src/Chap12/Exercise12_5.rs
     153/      81/     221/      82 src/Chap17/MathSeq.rs
     346/     331/     568/      42 src/Chap18/ArraySeq.rs
     317/     452/     764/      62 src/Chap18/ArraySeqMtEph.rs
     384/     287/     760/      63 src/Chap18/ArraySeqMtEphSlice.rs
     279/     397/     827/      58 src/Chap18/ArraySeqMtPer.rs
     215/     133/     421/      42 src/Chap18/ArraySeqStEph.rs
     205/     133/     404/      52 src/Chap18/ArraySeqStPer.rs
     172/     109/     340/      44 src/Chap18/LinkedListStEph.rs
     167/     109/     331/      44 src/Chap18/LinkedListStPer.rs
     319/     396/     690/      48 src/Chap19/ArraySeqMtEph.rs
     404/     281/     772/      63 src/Chap19/ArraySeqMtEphSlice.rs
     245/     178/     418/      48 src/Chap19/ArraySeqStEph.rs
     239/     193/     427/      48 src/Chap19/ArraySeqStPer.rs
      25/      33/      84/       3 src/Chap21/Algorithm21_1.rs
       7/      25/      51/       7 src/Chap21/Algorithm21_2.rs
       8/      20/      23/       3 src/Chap21/Algorithm21_5.rs
       8/      24/      76/       3 src/Chap21/Algorithm21_6.rs
      11/      23/      30/       5 src/Chap21/Exercise21_5.rs
       0/       0/       0/       3 src/Chap21/Exercise21_6.rs
      13/      16/      50/       5 src/Chap21/Exercise21_7.rs
      38/     122/      39/       5 src/Chap21/Exercise21_8.rs
      17/      46/       0/       3 src/Chap21/Exercise21_9.rs
       9/       0/      44/       3 src/Chap21/Problem21_1.rs
      11/      53/      65/       5 src/Chap21/Problem21_3.rs
      12/      28/      89/       5 src/Chap21/Problem21_4.rs
     279/      80/     161/      93 src/Chap23/BalBinTreeStEph.rs
     187/      85/     360/      59 src/Chap23/PrimTreeSeqStPer.rs
      71/      64/      71/       3 src/Chap26/DivConReduceMtPer.rs
      42/       0/      67/       3 src/Chap26/DivConReduceStPer.rs
     117/     189/     317/      30 src/Chap26/ETSPMtEph.rs
     100/     197/     166/      81 src/Chap26/ETSPStEph.rs
      68/     232/     248/       3 src/Chap26/MergeSortMtPer.rs
      36/      58/     102/       3 src/Chap26/MergeSortStPer.rs
      40/      58/     163/       3 src/Chap26/ScanDCMtPer.rs
      36/      61/     142/       3 src/Chap26/ScanDCStPer.rs
      35/     112/      56/       4 src/Chap27/ReduceContractMtEph.rs
      25/     130/      73/       3 src/Chap27/ReduceContractStEph.rs
      70/     164/     116/       4 src/Chap27/ScanContractMtEph.rs
      69/     164/     144/       3 src/Chap27/ScanContractStEph.rs
     130/      68/       0/       3 src/Chap28/MCSSSpec.rs
      16/       3/      73/       5 src/Chap28/MaxContigSubSumBruteStEph.rs
      21/      53/      89/      10 src/Chap28/MaxContigSubSumDivConMtEph.rs
      24/      40/      41/      10 src/Chap28/MaxContigSubSumDivConOptMtEph.rs
      61/     198/      46/       5 src/Chap28/MaxContigSubSumDivConOptStEph.rs
      44/     136/     111/       5 src/Chap28/MaxContigSubSumDivConStEph.rs
      39/      74/      61/       5 src/Chap28/MaxContigSubSumIterStEph.rs
       7/      17/      99/       8 src/Chap28/MaxContigSubSumOptMtEph.rs
      23/      53/     114/       5 src/Chap28/MaxContigSubSumOptStEph.rs
      15/      58/      75/       5 src/Chap28/MaxContigSubSumReducedMcsseStEph.rs
      15/       3/      72/       5 src/Chap28/MaxContigSubSumReducedStEph.rs
       6/       0/      36/      25 src/Chap30/Probability.rs
      76/     278/     193/       3 src/Chap35/OrderStatSelectMtEph.rs
      76/     272/     193/       3 src/Chap35/OrderStatSelectMtPer.rs
      21/     191/      92/       3 src/Chap35/OrderStatSelectStEph.rs
      21/     182/      92/       3 src/Chap35/OrderStatSelectStPer.rs
      58/     255/     353/       3 src/Chap36/QuickSortMtEph.rs
     101/     481/     374/       3 src/Chap36/QuickSortMtEphSlice.rs
      58/     242/     308/       3 src/Chap36/QuickSortStEph.rs
     322/     216/     518/      69 src/Chap37/AVLTreeSeq.rs
     234/     129/     326/      96 src/Chap37/AVLTreeSeqMtPer.rs
     325/     187/     520/      79 src/Chap37/AVLTreeSeqStEph.rs
     253/     199/     344/      83 src/Chap37/AVLTreeSeqStPer.rs
     171/     396/     336/      38 src/Chap37/BSTAVLMtEph.rs
     184/     495/     296/      26 src/Chap37/BSTAVLStEph.rs
     112/     272/     299/      38 src/Chap37/BSTBBAlphaMtEph.rs
     130/     296/     235/      30 src/Chap37/BSTBBAlphaStEph.rs
     112/     272/     299/      38 src/Chap37/BSTPlainMtEph.rs
     166/     324/     237/      30 src/Chap37/BSTPlainStEph.rs
     212/     494/     516/      70 src/Chap37/BSTRBMtEph.rs
      79/     233/     226/      26 src/Chap37/BSTRBStEph.rs
     110/       1/     361/      51 src/Chap37/BSTSetAVLMtEph.rs
     109/       1/     315/      48 src/Chap37/BSTSetBBAlphaMtEph.rs
     109/       1/     315/      48 src/Chap37/BSTSetPlainMtEph.rs
     110/       1/     361/      51 src/Chap37/BSTSetRBMtEph.rs
     110/       1/     365/      51 src/Chap37/BSTSetSplayMtEph.rs
     238/   1,129/     564/      56 src/Chap37/BSTSplayMtEph.rs
     194/   1,034/     379/      42 src/Chap37/BSTSplayStEph.rs
     366/     812/     539/      68 src/Chap38/BSTParaMtEph.rs
     272/     810/     418/      63 src/Chap38/BSTParaStEph.rs
     316/   1,144/     487/      77 src/Chap39/BSTParaTreapMtEph.rs
     118/      28/     129/      32 src/Chap39/BSTSetTreapMtEph.rs
     343/     445/     398/      75 src/Chap39/BSTTreapMtEph.rs
     682/   1,431/     785/      78 src/Chap39/BSTTreapStEph.rs
     348/     512/     462/      66 src/Chap40/BSTKeyValueStEph.rs
     382/     460/     554/      97 src/Chap40/BSTReducedStEph.rs
     364/     334/     566/      60 src/Chap40/BSTSizeStEph.rs
     151/      93/     193/      73 src/Chap41/AVLTreeSetMtEph.rs
      94/      89/     224/      58 src/Chap41/AVLTreeSetMtPer.rs
     258/     144/     196/      53 src/Chap41/AVLTreeSetStEph.rs
     196/     142/     166/      53 src/Chap41/AVLTreeSetStPer.rs
     162/     304/     312/      58 src/Chap41/ArraySetEnumMtEph.rs
     106/     613/     384/      44 src/Chap41/ArraySetStEph.rs
       0/       4/     166/      10 src/Chap41/Example41_3.rs
     507/   3,219/   1,142/      30 src/Chap41/OrdKeyMap.rs
       0/       1/       0/     143 src/Chap42/Example42_1.rs
     237/   1,443/     811/      42 src/Chap42/TableMtEph.rs
     233/   1,446/     830/      37 src/Chap42/TableStEph.rs
     266/   1,478/     797/      37 src/Chap42/TableStPer.rs
     189/      35/     394/      64 src/Chap43/AugOrderedTableMtEph.rs
     282/      56/     339/      63 src/Chap43/AugOrderedTableStEph.rs
     309/      72/     386/      56 src/Chap43/AugOrderedTableStPer.rs
       0/       1/       0/     174 src/Chap43/Example43_1.rs
     116/      43/     271/      50 src/Chap43/OrderedSetMtEph.rs
     316/     257/     275/      85 src/Chap43/OrderedSetStEph.rs
     289/     253/     264/      74 src/Chap43/OrderedSetStPer.rs
     204/      83/     350/      90 src/Chap43/OrderedTableMtEph.rs
     115/     123/     251/      40 src/Chap43/OrderedTableMtPer.rs
     477/   1,016/     783/      67 src/Chap43/OrderedTableStEph.rs
     466/     719/     547/      64 src/Chap43/OrderedTableStPer.rs
     115/      92/     222/      73 src/Chap44/DocumentIndex.rs
       0/       1/       0/     152 src/Chap44/Example44_1.rs
     101/     103/     421/      44 src/Chap45/BalancedTreePQ.rs
     268/     716/     600/      42 src/Chap45/BinaryHeapPQ.rs
       0/       1/      16/      75 src/Chap45/Example45_2.rs
      14/       3/      57/     234 src/Chap45/HeapsortExample.rs
     264/     209/     508/      83 src/Chap45/LeftistHeapPQ.rs
     124/     486/     318/      42 src/Chap45/SortedListPQ.rs
      95/     232/     217/      42 src/Chap45/UnsortedListPQ.rs
      40/      84/       1/       5 src/Chap47/ChainedHashTable.rs
      68/     523/     305/      22 src/Chap47/DoubleHashFlatHashTableStEph.rs
      36/       1/      41/      19 src/Chap47/FlatHashTable.rs
      60/     511/     258/      21 src/Chap47/LinProbFlatHashTableStEph.rs
      16/     175/     328/      21 src/Chap47/LinkedListChainedHashTableStEph.rs
     176/     164/      56/      40 src/Chap47/ParaHashTableStEph.rs
     103/     806/     272/      24 src/Chap47/QuadProbFlatHashTableStEph.rs
      69/     354/     324/      48 src/Chap47/StructChainedHashTable.rs
      17/     177/     325/      20 src/Chap47/VecChainedHashTableStEph.rs
      69/       2/     170/      73 src/Chap49/MinEditDistMtEph.rs
      50/       2/     148/      64 src/Chap49/MinEditDistMtPer.rs
      54/       2/      90/      89 src/Chap49/MinEditDistStEph.rs
      40/       3/      82/      75 src/Chap49/MinEditDistStPer.rs
      49/       2/     143/      69 src/Chap49/SubsetSumMtEph.rs
      42/       2/     130/      62 src/Chap49/SubsetSumMtPer.rs
      30/       2/      80/      61 src/Chap49/SubsetSumStEph.rs
      26/       3/      76/      56 src/Chap49/SubsetSumStPer.rs
     113/      31/     247/      93 src/Chap50/MatrixChainMtEph.rs
      93/      27/     182/      73 src/Chap50/MatrixChainMtPer.rs
     132/       5/     141/      64 src/Chap50/MatrixChainStEph.rs
     116/       5/     129/      59 src/Chap50/MatrixChainStPer.rs
      53/       8/     271/     100 src/Chap50/OptBinSearchTreeMtEph.rs
      37/       6/     197/      78 src/Chap50/OptBinSearchTreeMtPer.rs
      39/       5/     137/      75 src/Chap50/OptBinSearchTreeStEph.rs
      28/       5/     125/      70 src/Chap50/OptBinSearchTreeStPer.rs
     107/      36/     241/      26 src/Chap51/BottomUpDPMtEph.rs
      94/      36/     233/      26 src/Chap51/BottomUpDPMtPer.rs
     107/      47/     248/      26 src/Chap51/BottomUpDPStEph.rs
      94/      40/     240/      26 src/Chap51/BottomUpDPStPer.rs
     121/      46/     203/      42 src/Chap51/TopDownDPMtEph.rs
      97/      46/     199/      42 src/Chap51/TopDownDPMtPer.rs
     118/      29/     126/      29 src/Chap51/TopDownDPStEph.rs
      94/      34/     118/      29 src/Chap51/TopDownDPStPer.rs
     155/     213/     276/      19 src/Chap52/AdjMatrixGraphMtEph.rs
     162/     213/     278/      19 src/Chap52/AdjMatrixGraphMtPer.rs
     151/     213/     270/      19 src/Chap52/AdjMatrixGraphStEph.rs
     158/     214/     274/      21 src/Chap52/AdjMatrixGraphStPer.rs
     139/     105/     221/      19 src/Chap52/AdjSeqGraphMtEph.rs
     125/     108/     289/      18 src/Chap52/AdjSeqGraphMtPer.rs
     173/     105/     231/      18 src/Chap52/AdjSeqGraphStEph.rs
     133/     123/     296/      21 src/Chap52/AdjSeqGraphStPer.rs
     102/     466/     218/      30 src/Chap52/AdjTableGraphMtPer.rs
     116/     442/     205/      31 src/Chap52/AdjTableGraphStEph.rs
      86/     387/     220/      43 src/Chap52/AdjTableGraphStPer.rs
      79/      59/     132/      25 src/Chap52/EdgeSetGraphMtPer.rs
      71/      88/     138/      25 src/Chap52/EdgeSetGraphStEph.rs
      74/      72/     136/      28 src/Chap52/EdgeSetGraphStPer.rs
      83/      31/     146/      44 src/Chap53/GraphSearchMtPer.rs
      81/      28/     149/      44 src/Chap53/GraphSearchStEph.rs
      81/      36/     146/      44 src/Chap53/GraphSearchStPer.rs
     141/     151/     275/      28 src/Chap53/PQMinStEph.rs
     118/     137/     243/      30 src/Chap53/PQMinStPer.rs
     160/     187/     466/      29 src/Chap54/BFSMtEph.rs
     160/     185/     474/      29 src/Chap54/BFSMtPer.rs
      90/      87/     200/      29 src/Chap54/BFSStEph.rs
      91/      78/     198/      29 src/Chap54/BFSStPer.rs
     119/     446/     238/      17 src/Chap55/CycleDetectStEph.rs
     115/     337/     176/      21 src/Chap55/CycleDetectStPer.rs
      93/     195/     152/      18 src/Chap55/DFSStEph.rs
      92/     166/     133/      20 src/Chap55/DFSStPer.rs
      42/      85/     370/      25 src/Chap55/SCCStEph.rs
      60/      63/     431/      25 src/Chap55/SCCStPer.rs
     218/     402/     317/      17 src/Chap55/TopoSortStEph.rs
     187/     275/     285/      21 src/Chap55/TopoSortStPer.rs
      29/       0/     189/      17 src/Chap56/AllPairsResultStEphF64.rs
     111/       0/     186/      16 src/Chap56/AllPairsResultStEphI64.rs
      29/       0/     189/      16 src/Chap56/AllPairsResultStPerF64.rs
     123/       0/     192/      15 src/Chap56/AllPairsResultStPerI64.rs
       0/       0/      44/      16 src/Chap56/Example56_1.rs
       0/       0/      43/      16 src/Chap56/Example56_3.rs
      79/       0/     164/      17 src/Chap56/PathWeightUtilsStEph.rs
      81/       0/     166/      16 src/Chap56/PathWeightUtilsStPer.rs
      47/       0/     102/      17 src/Chap56/SSSPResultStEphF64.rs
      53/       0/     125/      16 src/Chap56/SSSPResultStEphI64.rs
      50/       0/     109/      16 src/Chap56/SSSPResultStPerF64.rs
      51/       0/     120/      15 src/Chap56/SSSPResultStPerI64.rs
      24/      34/     156/      30 src/Chap57/DijkstraStEphF64.rs
      24/      37/     143/      29 src/Chap57/DijkstraStEphU64.rs
      34/       0/      24/      16 src/Chap57/StackStEph.rs
      30/       0/     181/      29 src/Chap58/BellmanFordStEphF64.rs
      38/       0/     191/      28 src/Chap58/BellmanFordStEphI64.rs
      74/      29/     295/      15 src/Chap59/JohnsonMtEphF64.rs
      74/      37/     300/      14 src/Chap59/JohnsonMtEphI64.rs
      57/      31/     262/      17 src/Chap59/JohnsonStEphF64.rs
      58/      39/     295/      16 src/Chap59/JohnsonStEphI64.rs
      16/       0/     132/      23 src/Chap61/EdgeContractionMtEph.rs
      17/       0/      85/      21 src/Chap61/EdgeContractionStEph.rs
      14/       0/     153/      23 src/Chap61/VertexMatchingMtEph.rs
      15/       0/     105/      20 src/Chap61/VertexMatchingStEph.rs
      85/     103/     152/      24 src/Chap62/StarContractionMtEph.rs
      57/      71/     123/      23 src/Chap62/StarContractionStEph.rs
     178/     528/     942/      29 src/Chap62/StarPartitionMtEph.rs
      24/     141/     107/      19 src/Chap62/StarPartitionStEph.rs
      28/       0/     115/      25 src/Chap63/ConnectivityMtEph.rs
      28/       0/     113/      25 src/Chap63/ConnectivityStEph.rs
      16/       0/     130/      26 src/Chap64/SpanTreeMtEph.rs
      16/       0/     126/      25 src/Chap64/SpanTreeStEph.rs
      51/       0/     226/      25 src/Chap64/TSPApproxStEph.rs
