    Spec/   Proof/    Exec/    Rust File
--------------------------------------------
       0/       0/       0/     498 src/args.rs
       0/       0/       0/     598 src/bin/add_broadcast_groups.rs
       0/       0/       0/     686 src/bin/analyze_alg_analysis.rs
       0/       0/       0/   1,699 src/bin/analyze_libs.rs
       0/       0/       0/     550 src/bin/analyze_modules_vir.rs
       0/       0/       0/   1,504 src/bin/analyze_rust_wrapping_needs.rs
       0/       0/       0/     443 src/bin/analyze_vstd_coverage.rs
       0/       0/       0/     688 src/bin/annotate_alg_analysis.rs
       0/       0/       0/     840 src/bin/annotate_alg_analysis_from_toml.rs
       0/       0/       0/   2,403 src/bin/compare_par_mut.rs
       0/       0/       0/     141 src/bin/count_default_trait_fns.rs
       0/       0/       0/   1,180 src/bin/count_loc.rs
       0/       0/       0/     198 src/bin/find_verus_files.rs
       0/       0/       0/      18 src/bin/fix_add_ensures.rs
       0/       0/       0/      18 src/bin/fix_add_requires.rs
       0/       0/       0/     926 src/bin/fix_auto_triggers.rs
       0/       0/       0/     542 src/bin/fix_comment_formatting.rs
       0/       0/       0/     371 src/bin/fix_import_order.rs
       0/       0/       0/     572 src/bin/fix_redundant_finites.rs
       0/       0/       0/   1,410 src/bin/full_generic_feq.rs
       0/       0/       0/     625 src/bin/iter_vs_rec.rs
       0/       0/       0/     187 src/bin/metrics_proof_coverage.rs
       0/       0/       0/      19 src/bin/metrics_verification_time.rs
       0/       0/       0/   4,308 src/bin/minimize_lib.rs
       0/       0/       0/   4,338 src/bin/minimize_proofs.rs
       0/       0/       0/     101 src/bin/paths_delete.rs
       0/       0/       0/     317 src/bin/paths_edit.rs
       0/       0/       0/     120 src/bin/paths_insert.rs
       0/       0/       0/     124 src/bin/paths_move.rs
       0/       0/       0/     754 src/bin/paths_read.rs
       0/       0/       0/     117 src/bin/paths_traitify.rs
       0/       0/       0/     115 src/bin/paths_transform.rs
       0/       0/       0/     205 src/bin/paths_write.rs
       0/       0/       0/     119 src/bin/review_broadcast_use.rs
       0/       0/       0/     223 src/bin/review_comparator_patterns.rs
       0/       0/       0/     197 src/bin/review_datatype_invariants.rs
       0/       0/       0/     172 src/bin/review_exec_purity.rs
       0/       0/       0/     174 src/bin/review_generic_equality.rs
       0/       0/       0/     164 src/bin/review_ghost_tracked_naming.rs
       0/       0/       0/     201 src/bin/review_invariants.rs
       0/       0/       0/      82 src/bin/review_mode_mixing.rs
       0/       0/       0/   1,149 src/bin/review_module_fn_impls.rs
       0/       0/       0/     659 src/bin/review_proof_state.rs
       0/       0/       0/     181 src/bin/review_proof_structure.rs
       0/       0/       0/     210 src/bin/review_requires_ensures.rs
       0/       0/       0/     154 src/bin/review_spec_exec_ratio.rs
       0/       0/       0/     839 src/bin/review_spec_strength.rs
       0/       0/       0/     914 src/bin/review_status.rs
       0/       0/       0/     266 src/bin/review_string_hacking.rs
       0/       0/       0/     166 src/bin/review_termination.rs
       0/       0/       0/     138 src/bin/review_trigger_patterns.rs
       0/       0/       0/     331 src/bin/review_verus_axiom_purity.rs
       0/       0/       0/   5,096 src/bin/review_verus_proof_holes.rs
       0/       0/       0/   3,116 src/bin/review_verus_style.rs
       0/       0/       0/     429 src/bin/review_verus_wrapping.rs
       0/       0/       0/     161 src/bin/review_view_functions.rs
       0/       0/       0/     361 src/bin/run_experiments.rs
       0/       0/       0/   2,703 src/bin/search.rs
       0/       0/       0/   2,084 src/bin/tocify.rs
       0/       0/       0/     365 src/bin/type_subst.rs
       0/       0/       0/   1,628 src/bin/update_to_style.rs
       0/       0/       0/     566 src/bin/verusification.rs
       0/       0/       0/     349 src/bin/virify.rs
       0/       0/       0/      12 src/lib.rs
       0/       0/       0/       3 src/main.rs
       0/       0/       0/       9 src/parser.rs
       0/       0/       0/     531 src/search.rs
       0/       0/       0/     403 src/vstd_inventory.rs
--------------------------------------------
    spec    proof     exec     rust
       0/       0/       0/  50,770 Total
  63,671 total lines
68 files analyzed
605ms
